Technology_Types,Measure,Country,Year,OBS_VALUE,Log_OBS_VALUE,Availability_Category
Computed Tomography scanners,Per million population,Slovak Republic,2019,17.78,1.25,Low
Magnetic Resonance Imaging units,Per million population,Slovak Republic,2019,9.53,0.98,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Slovak Republic,2019,1.47,0.17,Very Low
Gamma cameras,Per million population,Slovak Republic,2019,5.68,0.75,Very Low
Mammographs,Per million population,Slovak Republic,2019,16.5,1.22,Low
Radiation therapy equipment,Per million population,Slovak Republic,2019,9.9,1,Very Low
Computed Tomography scanners,Per million population,Spain,2019,19.2,1.28,Low
Magnetic Resonance Imaging units,Per million population,Spain,2019,17.63,1.25,Low
Positron Emission Tomography (PET) scanners,Per million population,Spain,2019,1.76,0.25,Very Low
Gamma cameras,Per million population,Spain,2019,6.66,0.82,Very Low
Mammographs,Per million population,Spain,2019,16.48,1.22,Low
Radiation therapy equipment,Per million population,Spain,2019,5.01,0.7,Very Low
Computed Tomography scanners,Per million population,Sweden,2019,26.17,1.42,Low
Magnetic Resonance Imaging units,Per million population,Sweden,2019,16.64,1.22,Low
Positron Emission Tomography (PET) scanners,Per million population,Sweden,2019,2.24,0.35,Very Low
Gamma cameras,Per million population,Sweden,2019,7.1,0.85,Very Low
Mammographs,Per million population,Sweden,2019,18.68,1.27,Low
Radiation therapy equipment,Per million population,Sweden,2019,6.52,0.81,Very Low
Computed Tomography scanners,Per million population,Switzerland,2019,38.72,1.59,Low
Positron Emission Tomography (PET) scanners,Per million population,Switzerland,2019,3.85,0.59,Very Low
Mammographs,Per million population,Switzerland,2019,29.27,1.47,Low
Radiation therapy equipment,Per million population,Switzerland,2019,19.12,1.28,Low
Computed Tomography scanners,Per million population,Turkish,2019,14.69,1.17,Low
Magnetic Resonance Imaging units,Per million population,Turkish,2019,10.92,1.04,Low
Positron Emission Tomography (PET) scanners,Per million population,Turkish,2019,1.67,0.22,Very Low
Gamma cameras,Per million population,Turkish,2019,3.35,0.53,Very Low
Mammographs,Per million population,Turkish,2019,11.64,1.07,Low
Radiation therapy equipment,Per million population,Turkish,2019,2.85,0.45,Very Low
Computed Tomography scanners,Per million population,United States,2019,44.92,1.65,Low
Magnetic Resonance Imaging units,Per million population,United States,2019,40.43,1.61,Low
Positron Emission Tomography (PET) scanners,Per million population,United States,2019,5.45,0.74,Very Low
Gamma cameras,Per million population,United States,2019,48.76,1.69,Low
Mammographs,Per million population,United States,2019,63.81,1.8,Low
Radiation therapy equipment,Per million population,United States,2019,11.73,1.07,Low
Computed Tomography scanners,Per million population,Brazil,2019,24.58,1.39,Low
Magnetic Resonance Imaging units,Per million population,Brazil,2019,13.21,1.12,Low
Computed Tomography scanners,Per million population,Estonia,2019,18.84,1.28,Low
Magnetic Resonance Imaging units,Per million population,Estonia,2019,14.32,1.16,Low
Positron Emission Tomography (PET) scanners,Per million population,Estonia,2019,2.26,0.35,Very Low
Gamma cameras,Per million population,Estonia,2019,2.26,0.35,Very Low
Mammographs,Per million population,Estonia,2019,10.55,1.02,Low
Radiation therapy equipment,Per million population,Estonia,2019,5.28,0.72,Very Low
Computed Tomography scanners,Per million population,Israel,2019,9.83,0.99,Very Low
Magnetic Resonance Imaging units,Per million population,Israel,2019,5.19,0.72,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Israel,2019,1.44,0.16,Very Low
Gamma cameras,Per million population,Israel,2019,9.28,0.97,Very Low
Mammographs,Per million population,Israel,2019,10.16,1.01,Low
Radiation therapy equipment,Per million population,Israel,2019,3.98,0.6,Very Low
Computed Tomography scanners,Per million population,Russia,2019,13.87,1.14,Low
Magnetic Resonance Imaging units,Per million population,Russia,2019,5.1,0.71,Very Low
Computed Tomography scanners,Per million population,Slovenia,2019,18.2,1.26,Low
Magnetic Resonance Imaging units,Per million population,Slovenia,2019,12.45,1.1,Low
Positron Emission Tomography (PET) scanners,Per million population,Slovenia,2019,1.44,0.16,Very Low
Gamma cameras,Per million population,Slovenia,2019,8.14,0.91,Very Low
Mammographs,Per million population,Slovenia,2019,14.84,1.17,Low
Radiation therapy equipment,Per million population,Slovenia,2019,6.22,0.79,Very Low
Magnetic Resonance Imaging units,Number,Latvia,2019,29,1.46,Low
Mammographs,Number,Lithuania,2019,44,1.64,Low
Computed Tomography scanners,Number,Latvia,2019,71,1.85,Low
Radiation therapy equipment,Number,Lithuania,2019,24,1.38,Low
Mammographs,Per million population,Latvia,2019,27.69,1.44,Low
Radiation therapy equipment,Per million population,Lithuania,2019,8.59,0.93,Very Low
Mammographs,Per million population,Lithuania,2019,15.75,1.2,Low
Computed Tomography scanners,Per million population,Latvia,2019,37.1,1.57,Low
Positron Emission Tomography (PET) scanners,Number,Lithuania,2019,2,0.3,Very Low
Magnetic Resonance Imaging units,Number,Lithuania,2019,39,1.59,Low
Positron Emission Tomography (PET) scanners,Per million population,Latvia,2019,1.57,0.2,Very Low
Magnetic Resonance Imaging units,Per million population,Latvia,2019,15.15,1.18,Low
Gamma cameras,Per million population,Latvia,2019,3.66,0.56,Very Low
Computed Tomography scanners,Number,Lithuania,2019,74,1.87,Low
Positron Emission Tomography (PET) scanners,Per million population,Lithuania,2019,0.72,-0.14,Very Low
Computed Tomography scanners,Per million population,Lithuania,2019,26.48,1.42,Low
Magnetic Resonance Imaging units,Per million population,Lithuania,2019,13.96,1.14,Low
Mammographs,Number,Latvia,2019,53,1.72,Low
Gamma cameras,Number,Latvia,2019,7,0.85,Very Low
Positron Emission Tomography (PET) scanners,Number,Latvia,2019,3,0.48,Very Low
Gamma cameras,Number,Lithuania,2019,8,0.9,Very Low
Gamma cameras,Per million population,Lithuania,2019,2.86,0.46,Very Low
Computed Tomography scanners,Number,Colombia,2019,305,2.48,Medium
Computed Tomography scanners,Per million population,Colombia,2019,6.05,0.78,Very Low
Gamma cameras,Per million population,Croatia,2019,6.64,0.82,Very Low
Radiation therapy equipment,Per million population,Croatia,2019,5.9,0.77,Very Low
Mammographs,Per million population,Croatia,2019,34.18,1.53,Low
Computed Tomography scanners,Per million population,Croatia,2019,19.92,1.3,Low
Magnetic Resonance Imaging units,Per million population,Croatia,2019,12.54,1.1,Low
Positron Emission Tomography (PET) scanners,Per million population,Croatia,2019,1.23,0.09,Very Low
Mammographs,Per million population,Romania,2019,8.47,0.93,Very Low
Radiation therapy equipment,Per million population,Romania,2019,3.87,0.59,Very Low
Radiation therapy equipment,Number,Romania,2019,75,1.88,Low
Magnetic Resonance Imaging units,Number,Bulgaria,2019,79,1.9,Low
Positron Emission Tomography (PET) scanners,Number,Bulgaria,2019,8,0.9,Very Low
Positron Emission Tomography (PET) scanners,Number,Croatia,2019,5,0.7,Very Low
Magnetic Resonance Imaging units,Number,Croatia,2019,51,1.71,Low
Computed Tomography scanners,Number,Bulgaria,2019,275,2.44,Medium
Gamma cameras,Number,Croatia,2019,27,1.43,Low
Radiation therapy equipment,Per million population,Bulgaria,2019,9.89,1,Very Low
Computed Tomography scanners,Per million population,Romania,2019,17.5,1.24,Low
Gamma cameras,Number,Bulgaria,2019,20,1.3,Low
Mammographs,Number,Bulgaria,2019,212,2.33,Medium
Mammographs,Number,Croatia,2019,139,2.14,Medium
Radiation therapy equipment,Number,Croatia,2019,24,1.38,Low
Magnetic Resonance Imaging units,Per million population,Romania,2019,10.63,1.03,Low
Positron Emission Tomography (PET) scanners,Per million population,Romania,2019,0.52,-0.28,Very Low
Gamma cameras,Per million population,Romania,2019,2.58,0.41,Very Low
Radiation therapy equipment,Number,Bulgaria,2019,69,1.84,Low
Computed Tomography scanners,Number,Croatia,2019,81,1.91,Low
Gamma cameras,Per million population,Bulgaria,2019,2.87,0.46,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Bulgaria,2019,1.15,0.06,Very Low
Positron Emission Tomography (PET) scanners,Number,Romania,2019,10,1,Very Low
Gamma cameras,Number,Romania,2019,50,1.7,Low
Mammographs,Per million population,Bulgaria,2019,30.39,1.48,Low
Mammographs,Number,Romania,2019,164,2.21,Medium
Computed Tomography scanners,Per million population,Bulgaria,2019,39.42,1.6,Low
Magnetic Resonance Imaging units,Per million population,Bulgaria,2019,11.32,1.05,Low
Magnetic Resonance Imaging units,Number,Romania,2019,206,2.31,Medium
Computed Tomography scanners,Number,Romania,2019,339,2.53,Medium
Computed Tomography scanners,Number,Australia,2016,1524,3.18,High
Magnetic Resonance Imaging units,Number,Australia,2016,346,2.54,Medium
Positron Emission Tomography (PET) scanners,Number,Australia,2016,74,1.87,Low
Gamma cameras,Number,Australia,2016,465,2.67,Medium
Mammographs,Number,Australia,2016,562,2.75,Medium
Radiation therapy equipment,Number,Australia,2016,259,2.41,Medium
Computed Tomography scanners,Number,Austria,2016,254,2.4,Medium
Magnetic Resonance Imaging units,Number,Austria,2016,196,2.29,Medium
Positron Emission Tomography (PET) scanners,Number,Austria,2016,23,1.36,Low
Gamma cameras,Number,Austria,2016,93,1.97,Low
Mammographs,Number,Austria,2016,199,2.3,Medium
Radiation therapy equipment,Number,Austria,2016,43,1.63,Low
Computed Tomography scanners,Number,Belgium,2016,271,2.43,Medium
Magnetic Resonance Imaging units,Number,Belgium,2016,132,2.12,Medium
Gamma cameras,Number,Belgium,2016,290,2.46,Medium
Mammographs,Number,Belgium,2016,417,2.62,Medium
Radiation therapy equipment,Number,Belgium,2016,201,2.3,Medium
Mammographs,Number,Canada,2016,665,2.82,Medium
Radiation therapy equipment,Number,Canada,2016,104,2.02,Medium
Computed Tomography scanners,Number,Czechia,2016,164,2.21,Medium
Magnetic Resonance Imaging units,Number,Czechia,2016,90,1.95,Low
Positron Emission Tomography (PET) scanners,Number,Czechia,2016,16,1.2,Low
Gamma cameras,Number,Czechia,2016,121,2.08,Medium
Mammographs,Number,Czechia,2016,116,2.06,Medium
Radiation therapy equipment,Number,Czechia,2016,86,1.93,Low
Computed Tomography scanners,Number,Denmark,2016,224,2.35,Medium
Positron Emission Tomography (PET) scanners,Number,Denmark,2016,42,1.62,Low
Gamma cameras,Number,Denmark,2016,94,1.97,Low
Mammographs,Number,Denmark,2016,92,1.96,Low
Radiation therapy equipment,Number,Denmark,2016,77,1.89,Low
Computed Tomography scanners,Number,Finland,2016,133,2.12,Medium
Magnetic Resonance Imaging units,Number,Finland,2016,140,2.15,Medium
Positron Emission Tomography (PET) scanners,Number,Finland,2016,14,1.15,Low
Mammographs,Number,Finland,2016,168,2.23,Medium
Radiation therapy equipment,Number,Finland,2016,56,1.75,Low
Computed Tomography scanners,Number,France,2016,1131,3.05,High
Magnetic Resonance Imaging units,Number,France,2016,904,2.96,Medium
Positron Emission Tomography (PET) scanners,Number,France,2016,139,2.14,Medium
Gamma cameras,Number,France,2016,462,2.66,Medium
Computed Tomography scanners,Number,Germany,2016,2896,3.46,High
Magnetic Resonance Imaging units,Number,Germany,2016,2840,3.45,High
Computed Tomography scanners,Number,Greece,2016,387,2.59,Medium
Magnetic Resonance Imaging units,Number,Greece,2016,290,2.46,Medium
Positron Emission Tomography (PET) scanners,Number,Greece,2016,13,1.11,Low
Gamma cameras,Number,Greece,2016,151,2.18,Medium
Mammographs,Number,Greece,2016,650,2.81,Medium
Radiation therapy equipment,Number,Greece,2016,73,1.86,Low
Computed Tomography scanners,Number,Iceland,2016,13,1.11,Low
Magnetic Resonance Imaging units,Number,Iceland,2016,7,0.85,Very Low
Gamma cameras,Number,Iceland,2016,3,0.48,Very Low
Mammographs,Number,Iceland,2016,6,0.78,Very Low
Radiation therapy equipment,Number,Iceland,2016,3,0.48,Very Low
Computed Tomography scanners,Number,Ireland,2016,82,1.91,Low
Magnetic Resonance Imaging units,Number,Ireland,2016,70,1.85,Low
Positron Emission Tomography (PET) scanners,Number,Ireland,2016,8,0.9,Very Low
Gamma cameras,Number,Ireland,2016,28,1.45,Low
Mammographs,Number,Ireland,2016,66,1.82,Low
Radiation therapy equipment,Number,Ireland,2016,46,1.66,Low
Computed Tomography scanners,Number,Italy,2016,2079,3.32,High
Magnetic Resonance Imaging units,Number,Italy,2016,1722,3.24,High
Positron Emission Tomography (PET) scanners,Number,Italy,2016,196,2.29,Medium
Gamma cameras,Number,Italy,2016,479,2.68,Medium
Mammographs,Number,Italy,2016,2072,3.32,High
Radiation therapy equipment,Number,Italy,2016,423,2.63,Medium
Computed Tomography scanners,Number,Korea,2016,1937,3.29,High
Magnetic Resonance Imaging units,Number,Korea,2016,1425,3.15,High
Positron Emission Tomography (PET) scanners,Number,Korea,2016,208,2.32,Medium
Gamma cameras,Number,Korea,2016,300,2.48,Medium
Mammographs,Number,Korea,2016,2963,3.47,High
Radiation therapy equipment,Number,Korea,2016,299,2.48,Medium
Computed Tomography scanners,Number,Luxembourg,2016,10,1,Very Low
Magnetic Resonance Imaging units,Number,Luxembourg,2016,7,0.85,Very Low
Positron Emission Tomography (PET) scanners,Number,Luxembourg,2016,1,0,Very Low
Gamma cameras,Number,Luxembourg,2016,7,0.85,Very Low
Mammographs,Number,Luxembourg,2016,7,0.85,Very Low
Radiation therapy equipment,Number,Luxembourg,2016,5,0.7,Very Low
Computed Tomography scanners,Number,Mexico,2016,728,2.86,Medium
Magnetic Resonance Imaging units,Number,Mexico,2016,312,2.49,Medium
Positron Emission Tomography (PET) scanners,Number,Mexico,2016,7,0.85,Very Low
Gamma cameras,Number,Mexico,2016,55,1.74,Low
Mammographs,Number,Mexico,2016,1200,3.08,High
Radiation therapy equipment,Number,Mexico,2016,270,2.43,Medium
Computed Tomography scanners,Number,Netherlands,2016,222,2.35,Medium
Magnetic Resonance Imaging units,Number,Netherlands,2016,218,2.34,Medium
Positron Emission Tomography (PET) scanners,Number,Netherlands,2016,62,1.79,Low
Gamma cameras,Number,Netherlands,2016,141,2.15,Medium
Computed Tomography scanners,Number,New Zealand,2016,84,1.92,Low
Magnetic Resonance Imaging units,Number,New Zealand,2016,65,1.81,Low
Positron Emission Tomography (PET) scanners,Number,New Zealand,2016,6,0.78,Very Low
Gamma cameras,Number,New Zealand,2016,15,1.18,Low
Mammographs,Number,New Zealand,2016,106,2.03,Medium
Mammographs,Number,Norway,2016,35,1.54,Low
Computed Tomography scanners,Number,Norway,2016,81,1.91,Low
Magnetic Resonance Imaging units,Number,Norway,2016,23,1.36,Low
Positron Emission Tomography (PET) scanners,Number,Norway,2016,2,0.3,Very Low
Gamma cameras,Number,Norway,2016,9,0.95,Very Low
Radiation therapy equipment,Number,Norway,2016,65,1.81,Low
Computed Tomography scanners,Number,Poland,2016,658,2.82,Medium
Magnetic Resonance Imaging units,Number,Poland,2016,299,2.48,Medium
Positron Emission Tomography (PET) scanners,Number,Poland,2016,26,1.41,Low
Gamma cameras,Number,Poland,2016,155,2.19,Medium
Mammographs,Number,Poland,2016,389,2.59,Medium
Radiation therapy equipment,Number,Poland,2016,151,2.18,Medium
Computed Tomography scanners,Number,Slovak Republic,2016,94,1.97,Low
Magnetic Resonance Imaging units,Number,Slovak Republic,2016,49,1.69,Low
Positron Emission Tomography (PET) scanners,Number,Slovak Republic,2016,8,0.9,Very Low
Gamma cameras,Number,Slovak Republic,2016,27,1.43,Low
Mammographs,Number,Slovak Republic,2016,104,2.02,Medium
Radiation therapy equipment,Number,Slovak Republic,2016,59,1.77,Low
Computed Tomography scanners,Number,Spain,2016,851,2.93,Medium
Magnetic Resonance Imaging units,Number,Spain,2016,748,2.87,Medium
Positron Emission Tomography (PET) scanners,Number,Spain,2016,79,1.9,Low
Gamma cameras,Number,Spain,2016,304,2.48,Medium
Mammographs,Number,Spain,2016,755,2.88,Medium
Radiation therapy equipment,Number,Spain,2016,230,2.36,Medium
Computed Tomography scanners,Number,Sweden,2016,219,2.34,Medium
Magnetic Resonance Imaging units,Number,Sweden,2016,156,2.19,Medium
Positron Emission Tomography (PET) scanners,Number,Sweden,2016,16,1.2,Low
Gamma cameras,Number,Sweden,2016,78,1.89,Low
Mammographs,Number,Sweden,2016,134,2.13,Medium
Radiation therapy equipment,Number,Sweden,2016,78,1.89,Low
Computed Tomography scanners,Number,Switzerland,2016,326,2.51,Medium
Positron Emission Tomography (PET) scanners,Number,Switzerland,2016,28,1.45,Low
Mammographs,Number,Switzerland,2016,241,2.38,Medium
Radiation therapy equipment,Number,Switzerland,2016,139,2.14,Medium
Computed Tomography scanners,Number,Turkish,2016,1152,3.06,High
Magnetic Resonance Imaging units,Number,Turkish,2016,836,2.92,Medium
Positron Emission Tomography (PET) scanners,Number,Turkish,2016,119,2.08,Medium
Gamma cameras,Number,Turkish,2016,264,2.42,Medium
Mammographs,Number,Turkish,2016,931,2.97,Medium
Radiation therapy equipment,Number,Turkish,2016,215,2.33,Medium
Computed Tomography scanners,Number,United States,2016,13525,4.13,Very High
Magnetic Resonance Imaging units,Number,United States,2016,11865,4.07,Very High
Mammographs,Number,United States,2016,16720,4.22,Very High
Radiation therapy equipment,Number,United States,2016,3855,3.59,High
Computed Tomography scanners,Number,Brazil,2016,4166,3.62,High
Magnetic Resonance Imaging units,Number,Brazil,2016,2130,3.33,High
Computed Tomography scanners,Number,Estonia,2016,23,1.36,Low
Gamma cameras,Number,Estonia,2016,3,0.48,Very Low
Magnetic Resonance Imaging units,Number,Estonia,2016,18,1.26,Low
Positron Emission Tomography (PET) scanners,Number,Estonia,2016,3,0.48,Very Low
Mammographs,Number,Estonia,2016,15,1.18,Low
Radiation therapy equipment,Number,Estonia,2016,7,0.85,Very Low
Computed Tomography scanners,Number,Israel,2016,81,1.91,Low
Magnetic Resonance Imaging units,Number,Israel,2016,45,1.65,Low
Positron Emission Tomography (PET) scanners,Number,Israel,2016,9,0.95,Very Low
Gamma cameras,Number,Israel,2016,86,1.93,Low
Mammographs,Number,Israel,2016,79,1.9,Low
Radiation therapy equipment,Number,Israel,2016,33,1.52,Low
Computed Tomography scanners,Number,Russia,2016,1871,3.27,High
Magnetic Resonance Imaging units,Number,Russia,2016,663,2.82,Medium
Computed Tomography scanners,Number,Slovenia,2016,29,1.46,Low
Magnetic Resonance Imaging units,Number,Slovenia,2016,23,1.36,Low
Positron Emission Tomography (PET) scanners,Number,Slovenia,2016,3,0.48,Very Low
Gamma cameras,Number,Slovenia,2016,17,1.23,Low
Mammographs,Number,Slovenia,2016,33,1.52,Low
Radiation therapy equipment,Number,Slovenia,2016,13,1.11,Low
Computed Tomography scanners,Per million population,Australia,2016,63,1.8,Low
Magnetic Resonance Imaging units,Per million population,Australia,2016,14.3,1.16,Low
Positron Emission Tomography (PET) scanners,Per million population,Australia,2016,3.06,0.49,Very Low
Gamma cameras,Per million population,Australia,2016,19.22,1.28,Low
Mammographs,Per million population,Australia,2016,23.23,1.37,Low
Radiation therapy equipment,Per million population,Australia,2016,10.71,1.03,Low
Magnetic Resonance Imaging units,Per million population,Austria,2016,22.43,1.35,Low
Computed Tomography scanners,Per million population,Austria,2016,29.07,1.46,Low
Positron Emission Tomography (PET) scanners,Per million population,Austria,2016,2.63,0.42,Very Low
Mammographs,Per million population,Austria,2016,22.78,1.36,Low
Gamma cameras,Per million population,Austria,2016,10.64,1.03,Low
Radiation therapy equipment,Per million population,Austria,2016,4.92,0.69,Very Low
Computed Tomography scanners,Per million population,Belgium,2016,23.92,1.38,Low
Magnetic Resonance Imaging units,Per million population,Belgium,2016,11.65,1.07,Low
Gamma cameras,Per million population,Belgium,2016,25.59,1.41,Low
Mammographs,Per million population,Belgium,2016,36.8,1.57,Low
Radiation therapy equipment,Per million population,Belgium,2016,17.74,1.25,Low
Mammographs,Per million population,Canada,2016,18.42,1.27,Low
Radiation therapy equipment,Per million population,Canada,2016,2.88,0.46,Very Low
Computed Tomography scanners,Per million population,Czechia,2016,15.52,1.19,Low
Positron Emission Tomography (PET) scanners,Per million population,Czechia,2016,1.51,0.18,Very Low
Gamma cameras,Per million population,Czechia,2016,11.45,1.06,Low
Magnetic Resonance Imaging units,Per million population,Czechia,2016,8.52,0.93,Very Low
Mammographs,Per million population,Czechia,2016,10.98,1.04,Low
Radiation therapy equipment,Per million population,Czechia,2016,8.14,0.91,Very Low
Computed Tomography scanners,Per million population,Denmark,2016,39.11,1.59,Low
Positron Emission Tomography (PET) scanners,Per million population,Denmark,2016,7.33,0.87,Very Low
Gamma cameras,Per million population,Denmark,2016,16.41,1.22,Low
Mammographs,Per million population,Denmark,2016,16.06,1.21,Low
Radiation therapy equipment,Per million population,Denmark,2016,13.44,1.13,Low
Computed Tomography scanners,Per million population,Finland,2016,24.2,1.38,Low
Magnetic Resonance Imaging units,Per million population,Finland,2016,25.48,1.41,Low
Positron Emission Tomography (PET) scanners,Per million population,Finland,2016,2.55,0.41,Very Low
Mammographs,Per million population,Finland,2016,30.57,1.49,Low
Radiation therapy equipment,Per million population,Finland,2016,10.19,1.01,Low
Computed Tomography scanners,Per million population,France,2016,16.95,1.23,Low
Positron Emission Tomography (PET) scanners,Per million population,France,2016,2.08,0.32,Very Low
Magnetic Resonance Imaging units,Per million population,France,2016,13.55,1.13,Low
Gamma cameras,Per million population,France,2016,6.92,0.84,Very Low
Computed Tomography scanners,Per million population,Germany,2016,35.17,1.55,Low
Magnetic Resonance Imaging units,Per million population,Germany,2016,34.49,1.54,Low
Computed Tomography scanners,Per million population,Greece,2016,35.91,1.56,Low
Magnetic Resonance Imaging units,Per million population,Greece,2016,26.91,1.43,Low
Positron Emission Tomography (PET) scanners,Per million population,Greece,2016,1.21,0.08,Very Low
Gamma cameras,Per million population,Greece,2016,14.01,1.15,Low
Mammographs,Per million population,Greece,2016,60.32,1.78,Low
Radiation therapy equipment,Per million population,Greece,2016,6.77,0.83,Very Low
Computed Tomography scanners,Per million population,Iceland,2016,38.76,1.59,Low
Magnetic Resonance Imaging units,Per million population,Iceland,2016,20.87,1.32,Low
Gamma cameras,Per million population,Iceland,2016,8.94,0.95,Very Low
Mammographs,Per million population,Iceland,2016,17.89,1.25,Low
Radiation therapy equipment,Per million population,Iceland,2016,8.94,0.95,Very Low
Computed Tomography scanners,Per million population,Ireland,2016,17.24,1.24,Low
Magnetic Resonance Imaging units,Per million population,Ireland,2016,14.72,1.17,Low
Positron Emission Tomography (PET) scanners,Per million population,Ireland,2016,1.68,0.23,Very Low
Gamma cameras,Per million population,Ireland,2016,5.89,0.77,Very Low
Mammographs,Per million population,Ireland,2016,13.88,1.14,Low
Radiation therapy equipment,Per million population,Ireland,2016,9.67,0.99,Very Low
Computed Tomography scanners,Per million population,Italy,2016,34.29,1.54,Low
Magnetic Resonance Imaging units,Per million population,Italy,2016,28.4,1.45,Low
Positron Emission Tomography (PET) scanners,Per million population,Italy,2016,3.23,0.51,Very Low
Gamma cameras,Per million population,Italy,2016,7.9,0.9,Very Low
Mammographs,Per million population,Italy,2016,34.18,1.53,Low
Radiation therapy equipment,Per million population,Italy,2016,6.98,0.84,Very Low
Computed Tomography scanners,Per million population,Korea,2016,37.82,1.58,Low
Magnetic Resonance Imaging units,Per million population,Korea,2016,27.82,1.44,Low
Positron Emission Tomography (PET) scanners,Per million population,Korea,2016,4.06,0.61,Very Low
Gamma cameras,Per million population,Korea,2016,5.86,0.77,Very Low
Mammographs,Per million population,Korea,2016,57.85,1.76,Low
Radiation therapy equipment,Per million population,Korea,2016,5.84,0.77,Very Low
Computed Tomography scanners,Per million population,Luxembourg,2016,17.18,1.24,Low
Magnetic Resonance Imaging units,Per million population,Luxembourg,2016,12.03,1.08,Low
Positron Emission Tomography (PET) scanners,Per million population,Luxembourg,2016,1.72,0.24,Very Low
Mammographs,Per million population,Luxembourg,2016,12.03,1.08,Low
Radiation therapy equipment,Per million population,Luxembourg,2016,8.59,0.93,Very Low
Computed Tomography scanners,Per million population,Mexico,2016,5.93,0.77,Very Low
Magnetic Resonance Imaging units,Per million population,Mexico,2016,2.54,0.4,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Mexico,2016,0.06,-1.22,Very Low
Gamma cameras,Per million population,Mexico,2016,0.45,-0.35,Very Low
Mammographs,Per million population,Mexico,2016,9.78,0.99,Very Low
Radiation therapy equipment,Per million population,Mexico,2016,2.2,0.34,Very Low
Gamma cameras,Per million population,Luxembourg,2016,12.03,1.08,Low
Computed Tomography scanners,Per million population,Netherlands,2016,13.04,1.12,Low
Magnetic Resonance Imaging units,Per million population,Netherlands,2016,12.8,1.11,Low
Positron Emission Tomography (PET) scanners,Per million population,Netherlands,2016,3.64,0.56,Very Low
Gamma cameras,Per million population,Netherlands,2016,8.28,0.92,Very Low
Computed Tomography scanners,Per million population,New Zealand,2016,17.82,1.25,Low
Magnetic Resonance Imaging units,Per million population,New Zealand,2016,13.79,1.14,Low
Positron Emission Tomography (PET) scanners,Per million population,New Zealand,2016,1.27,0.1,Very Low
Gamma cameras,Per million population,New Zealand,2016,3.18,0.5,Very Low
Mammographs,Per million population,New Zealand,2016,22.49,1.35,Low
Mammographs,Per million population,Norway,2016,6.69,0.83,Very Low
Computed Tomography scanners,Per million population,Norway,2016,15.47,1.19,Low
Magnetic Resonance Imaging units,Per million population,Norway,2016,4.39,0.64,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Norway,2016,0.38,-0.42,Very Low
Gamma cameras,Per million population,Norway,2016,1.72,0.24,Very Low
Radiation therapy equipment,Per million population,Norway,2016,12.42,1.09,Low
Computed Tomography scanners,Per million population,Poland,2016,17.33,1.24,Low
Magnetic Resonance Imaging units,Per million population,Poland,2016,7.87,0.9,Very Low
Positron Emission Tomography (PET) scanners,Per million population,Poland,2016,0.68,-0.17,Very Low
Gamma cameras,Per million population,Poland,2016,4.08,0.61,Very Low
Mammographs,Per million population,Poland,2016,10.24,1.01,Low
Radiation therapy equipment,Per million population,Poland,2016,3.98,0.6,Very Low
Computed Tomography scanners,Per million population,Slovak Republic,2016,17.31,1.24,Low
Positron Emission Tomography (PET) scanners,Per million population,Slovak Republic,2016,1.47,0.17,Very Low
Magnetic Resonance Imaging units,Per million population,Slovak Republic,2016,9.02,0.96,Very Low
Gamma cameras,Per million population,Slovak Republic,2016,4.97,0.7,Very Low
Mammographs,Per million population,Slovak Republic,2016,19.15,1.28,Low
Radiation therapy equipment,Per million population,Slovak Republic,2016,10.86,1.04,Low
Computed Tomography scanners,Per million population,Spain,2016,18.31,1.26,Low
Magnetic Resonance Imaging units,Per million population,Spain,2016,16.09,1.21,Low
Positron Emission Tomography (PET) scanners,Per million population,Spain,2016,1.7,0.23,Very Low
Gamma cameras,Per million population,Spain,2016,6.54,0.82,Very Low
Mammographs,Per million population,Spain,2016,16.24,1.21,Low
Radiation therapy equipment,Per million population,Spain,2016,4.95,0.69,Very Low
Computed Tomography scanners,Per million population,Sweden,2016,22.07,1.34,Low
Magnetic Resonance Imaging units,Per million population,Sweden,2016,15.72,1.2,Low
Positron Emission Tomography (PET) scanners,Per million population,Sweden,2016,1.61,0.21,Very Low
Gamma cameras,Per million population,Sweden,2016,7.86,0.9,Very Low
Mammographs,Per million population,Sweden,2016,13.5,1.13,Low
Radiation therapy equipment,Per million population,Sweden,2016,7.86,0.9,Very Low
Computed Tomography scanners,Per million population,Switzerland,2016,38.93,1.59,Low
Positron Emission Tomography (PET) scanners,Per million population,Switzerland,2016,3.34,0.52,Very Low
Mammographs,Per million population,Switzerland,2016,28.78,1.46,Low
Radiation therapy equipment,Per million population,Switzerland,2016,16.6,1.22,Low
Computed Tomography scanners,Per million population,Turkish,2016,14.53,1.16,Low
Magnetic Resonance Imaging units,Per million population,Turkish,2016,10.55,1.02,Low
Positron Emission Tomography (PET) scanners,Per million population,Turkish,2016,1.5,0.18,Very Low
Gamma cameras,Per million population,Turkish,2016,3.33,0.52,Very Low
Mammographs,Per million population,Turkish,2016,11.74,1.07,Low
Radiation therapy equipment,Per million population,Turkish,2016,2.71,0.43,Very Low
Computed Tomography scanners,Per million population,United States,2016,41.86,1.62,Low
